,Neighborhood,Niche URL,Niche Price,Population (2010),NPU,2014 Count,2015 Count,2016 Count,2017 Count,2018 Count
135,Leila Valley,https://www.niche.com/places-to-live/n/leila-valley-atlanta-ga/,"$62,752 ",847,Z,61.0,66.0,42.0,50.0,41.0
136,Lenox,https://www.niche.com/places-to-live/n/lenox-atlanta-ga/,0,"1,663",B,522.0,624.0,518.0,520.0,455.0
137,Lincoln Homes,https://www.niche.com/places-to-live/n/lincoln-homes-atlanta-ga/,"$110,896 ",590,G,32.0,33.0,38.0,33.0,19.0
138,Lindbergh/Morosgo,https://www.niche.com/places-to-live/n/lindbergh-morosgo-atlanta-ga/,"$198,113 ",,,391.0,422.0,509.0,589.0,602.0
139,Lindridge/Martin Manor,https://www.niche.com/places-to-live/n/lindridge-martin-manor-atlanta-ga/,"$323,714 ","4,221",F,233.0,198.0,221.0,210.0,304.0
140,Loring Heights,https://www.niche.com/places-to-live/n/loring-heights-atlanta-ga/,"$293,614 ","1,774",E,95.0,115.0,153.0,161.0,206.0
141,Magnum Manor,https://www.niche.com/places-to-live/n/magnum-manor-atlanta-ga/,"$109,612 ",,,11.0,13.0,10.0,10.0,4.0
142,Margaret Mitchell,https://www.niche.com/places-to-live/n/margaret-mitchell-atlanta-ga/,"$1,035,536 ","1,207",A,18.0,13.0,13.0,6.0,10.0
143,Marietta Street Artery,https://www.niche.com/places-to-live/n/marietta-street-artery-atlanta-ga/,"$1,194 ",745,E,168.0,219.0,197.0,143.0,218.0
144,Mays,https://www.niche.com/places-to-live/n/mays-atlanta-ga/,"$108,400 ",790,H,61.0,81.0,96.0,63.0,42.0
145,Meadowbrook Forest,https://www.niche.com/places-to-live/n/meadowbrook-forest-atlanta-ga/,"$94,600 ",,,5.0,12.0,15.0,12.0,9.0
146,Mechanicsville,https://www.niche.com/places-to-live/n/mechanicsville-atlanta-ga/,"$97,288 ","3,731",V,495.0,426.0,422.0,432.0,412.0
147,Mellwood,https://www.niche.com/places-to-live/n/mellwood-atlanta-ga/,"$63,500 ",,,3.0,2.0,,2.0,4.0
148,Memorial Park,https://www.niche.com/places-to-live/n/memorial-park-atlanta-ga/,"$652,247 ",,,12.0,5.0,10.0,5.0,4.0
149,Midtown,https://www.niche.com/places-to-live/n/midtown-atlanta-ga/,"$322,058 ","16,569",E,1715.0,1521.0,1309.0,1402.0,1512.0
150,Midwest Cascade,https://www.niche.com/places-to-live/n/midwest-cascade-atlanta-ga/,"$218,615 ","1,786",Q,21.0,18.0,32.0,35.0,12.0
151,Monroe Heights,https://www.niche.com/places-to-live/n/monroe-heights-atlanta-ga/,"$155,000 ",903,G,34.0,54.0,54.0,44.0,23.0
152,Morningside/Lenox Park,https://www.niche.com/places-to-live/n/morningside-lenox-park-atlanta-ga/,"$541,247 ","8,030",F,221.0,224.0,270.0,335.0,316.0
153,Mozley Park,https://www.niche.com/places-to-live/n/mozley-park-atlanta-ga/,"$93,751 ","1,714",K,126.0,109.0,119.0,103.0,105.0
154,Mt. Gilead Woods,https://www.niche.com/places-to-live/n/mt-gilead-woods-atlanta-ga/,"$94,600 ",,,3.0,6.0,7.0,8.0,3.0
155,Mt. Paran Parkway,https://www.niche.com/places-to-live/n/mt-paran-parkway-atlanta-ga/,0,,,1.0,1.0,1.0,1.0,
156,Mt. Paran/Northside,https://www.niche.com/places-to-live/n/mt-paran-northside-atlanta-ga/,"$1,013,018 ","1,568",A,36.0,35.0,32.0,21.0,13.0
157,Niskey Cove,https://www.niche.com/places-to-live/n/niskey-cove-atlanta-ga/,0,,,5.0,6.0,4.0,2.0,
158,Niskey Lake,https://www.niche.com/places-to-live/n/niskey-lake-atlanta-ga/,"$210,318 ",,,5.0,1.0,3.0,4.0,1.0
159,North Buckhead,https://www.niche.com/places-to-live/n/north-buckhead-atlanta-ga/,"$549,909 ","8,270",B,493.0,427.0,544.0,476.0,533.0
160,Norwood Manor,https://www.niche.com/places-to-live/n/norwood-manor-atlanta-ga/,"$85,044 ",871,Z,50.0,41.0,49.0,44.0,36.0
161,Oakcliff,https://www.niche.com/places-to-live/n/oakcliff-atlanta-ga/,0,,,6.0,8.0,7.0,7.0,9.0
162,Oakland,https://www.niche.com/places-to-live/n/oakland-atlanta-ga/,"$149,000 ",,,26.0,32.0,20.0,21.0,14.0
163,Oakland City,https://www.niche.com/places-to-live/n/oakland-city-atlanta-ga/,"$77,543 ","3,442",S,366.0,344.0,266.0,245.0,236.0
164,Old Fairburn Village,https://www.niche.com/places-to-live/n/old-fairburn-village-atlanta-ga/,"$193,900 ",,,2.0,3.0,1.0,1.0,
165,Old Fourth Ward,https://www.niche.com/places-to-live/n/old-fourth-ward-atlanta-ga/,"$237,042 ","10,505",M,879.0,815.0,784.0,694.0,562.0
166,Old Gordon,https://www.niche.com/places-to-live/n/old-gordon-atlanta-ga/,"$70,094 ",761,H,21.0,29.0,27.0,25.0,17.0
167,Orchard Knob,https://www.niche.com/places-to-live/n/orchard-knob-atlanta-ga/,"$73,700 ",673,Z,47.0,44.0,32.0,45.0,29.0
168,Ormewood Park,https://www.niche.com/places-to-live/n/ormewood-park-atlanta-ga/,"$284,772 ","4,050",W,170.0,178.0,148.0,154.0,106.0
169,Paces,https://www.niche.com/places-to-live/n/paces-atlanta-ga/,"$841,105 ","2,623",A,42.0,52.0,41.0,28.0,30.0
170,Peachtree Battle Alliance,https://www.niche.com/places-to-live/n/peachtree-battle-alliance-atlanta-ga/,"$913,192 ","1,540",C,19.0,18.0,15.0,14.0,21.0
171,Peachtree Heights East,https://www.niche.com/places-to-live/n/peachtree-heights-east-atlanta-ga/,"$551,820 ","1,081",B,11.0,6.0,16.0,14.0,17.0
172,Peachtree Heights West,https://www.niche.com/places-to-live/n/peachtree-heights-west-atlanta-ga/,"$598,832 ","4,767",B,104.0,85.0,68.0,100.0,104.0
173,Peachtree Hills,https://www.niche.com/places-to-live/n/peachtree-hills-atlanta-ga/,"$497,415 ","2,785",B,43.0,46.0,62.0,53.0,71.0
174,Peachtree Park,https://www.niche.com/places-to-live/n/peachtree-park-atlanta-ga/,"$437,202 ","1,316",B,67.0,73.0,101.0,79.0,60.0
175,Penelope Neighbors,https://www.niche.com/places-to-live/n/penelope-neighbors-atlanta-ga/,"$52,169 ",559,J,23.0,25.0,32.0,15.0,18.0
176,Peoplestown,https://www.niche.com/places-to-live/n/peoplestown-atlanta-ga/,"$223,706 ","2,612",V,286.0,239.0,248.0,166.0,136.0
177,Perkerson,https://www.niche.com/places-to-live/n/perkerson-atlanta-ga/,"$79,600 ","2,347",X,291.0,310.0,231.0,266.0,282.0
178,Peyton Forest,https://www.niche.com/places-to-live/n/peyton-forest-atlanta-ga/,"$118,800 ",817,I,28.0,21.0,16.0,10.0,13.0
179,Piedmont Heights,https://www.niche.com/places-to-live/n/piedmont-heights-atlanta-ga/,"$417,084 ","2,323",F,194.0,191.0,204.0,223.0,209.0
180,Pine Hills,https://www.niche.com/places-to-live/n/pine-hills-atlanta-ga/,"$375,790 ","8,033",B,119.0,122.0,128.0,132.0,105.0
181,Pittsburgh,https://www.niche.com/places-to-live/n/pittsburgh-atlanta-ga/,"$26,111 ","3,658",V,461.0,416.0,356.0,306.0,272.0
182,Pleasant Hill,https://www.niche.com/places-to-live/n/pleasant-hill-atlanta-ga/,"$492,500 ",,,2.0,6.0,6.0,4.0,6.0
